annotation_id,conversation_id,customer_id,turn_count,D1_context_specificity,D2_action_specificity,D3_dm_redirect,D4_observable_outcome,customer_messages,agent_messages,evidence_complete,action_observed,customer_reaction_observed,dm_redirect,notes,suggested_evidence_complete,suggested_action_observed,suggested_customer_reaction_observed,suggested_dm_redirect
116,191589,161033,6,1.0,0.0,1,neutral_reaction,@115850 HI I am in big problem. My account locked and cutting 7 Euro every month. Please help me. I am from Bangladesh. || @AmazonHelp Amazon.de || @AmazonHelp As you dont serve in Bangladesh. I go on every site and check prices.,"@161033 We'd like to help! Do you mind telling us which Amazon site you primarily use? (https://t.co/7r0yxhywxR.) ^NM || @161033 We already sent you a direct message. ^SK || @161033 If you need to reach the Amazon.de customer service, please follow this link: https://t.co/ohyvGrpvrY Regards ^VM",NO,YES,YES,YES,,NO,NO,YES,YES
92,785789,307481,4,0.7,0.0,1,neutral_reaction,"@AmazonHelp Pathetic service from your transportation department. No info about delivery . Crap tracking system. wtf happening with my order || @AmazonHelp it was yesterday night 8pm, based on Guaranteed in a day delivery. Still delivery pending. but refund of 100 rs initiated.",@307481 We're sorry about the hassle with tracking your order. Could you help us with the estimated delivery date on the order? ^HK || @307481 We've responded to your query via Dm. Request you to check the same. ^SH,NO,NO,NO,YES,,NO,NO,YES,YES
16,575311,231112,20,0.75,1.0,0,positive_reaction,@115821 @115850 @1840 @115851 @2517 @120320 @118341 @132458 @7291 @25348 This is the amazon services they will make a daily new excause and daily they raise a new complain...how can i trust on them tell me anyone........please close amazon in India https://t.co/U3hxViLIFS || @115821 @115850 @1840 @115851 @2517 @120320 @118341 @132458 @7291 @25348 you can see the above photo i informed them on 1dec itself but they don't register a complain on 1st dec they make a complain on 3rd dec what is this.. This is the service of amazon.in how irresponsible they are and also they telling lie... || @115821 @115850 @1840 @115851 @2517 @120320 @118341 @132458 @7291 @25348 Amazon make me very upset and irritate me and waste my time so i want to inform you please don't buy anything from amazon you will also have to face this type of situation in future please backward amazon || @AmazonHelp i want a call back i reply on mail but you didn't call me what is it mean i already provided  you screen short || @AmazonHelp I not received any call till now || @AmazonHelp No they will not call me || @AmazonHelp When they will contact me please mention the time so that I can trust on you || @AmazonHelp Pls give me perfect time || @AmazonHelp i told them contact me within 5 min but you contact me NO so why are you asking my preferred time || @AmazonHelp contact me on 6:30 PM IST || @AmazonHelp you can access all the things you bloody cheaters,"@231112 I understand your concern aslam, we've sent the correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww ^SP || @231112 We'd certainly want to help you. As mentioned earlier please reply to the correspondence received so we could assist you further. ^BS || @231112 Since you've already responded to our correspondence, you'd receive an update anytime soon. Appreciate your patience and understanding. ^EM || @231112 Kindly reply to the email sent to you from our executive escalations team and they will get back to you with an update. Appreciate your understanding.^HR || @231112 Please reply to the correspondence from our specialist team with more insight on this so that they can reach out to you accordingly. ^VN || @231112 Please reply to the correspondence with your preferred time and we'll connect with you soon. ^VH || @231112 I'm sorry we weren't able to contact you at your preferred timings. Kindly reply to the correspondence with your preferred timings and we'll contact you soon.  ^GD || @231112 Twitter being a social media platform, we wouldn't have the access to your account. Please respond to the email correspondence for further assistance. Appreciate your understanding. ^NK || @231112 Being a social platform, we won't be able to gain access to your account and check this for you. Please respond to the email correspondence for further assistance. ^VH",NO,YES,YES,NO,,YES,YES,YES,NO
58,436906,143655,9,1.0,1.0,0,positive_reaction,@115821 I purchased something for $9.99that was supposed to be delivered yesterday&amp;wasn’t.2day it’s $7.47.Can I be reimbursedthe difference? || @115821 @AmazonHelp please see my above tweet || @AmazonHelp This is what it says. But now those strainers that I paid $9.99 for r $7.47. Since I don’t yet have the item can I get back the difference? https://t.co/GyIXx4kUK3 || @AmazonHelp This is the last update from yesterday morning https://t.co/uaE5l9KATA || @AmazonHelp No thanks. I need the item and that will just delay it more. And last time I sent something back i had to pay shipping back. Not worth it || @AmazonHelp How can I find out where my package is? The tracking hasn’t updated since yesterday morning,"@143655 I'm sorry we didn't get your package delivered to you, Kari! Can you tell me the status &amp; carrier listed?https://t.co/Y5jpI9gRhE ^FR || @143655 You can send the package back for a return and place a new order: https://t.co/SOPTYuv9XR ^AF || @143655 Have you had a chance to contact the carrier for more specific delivery details: https://t.co/c2992xi02y? ^LI",NO,YES,YES,NO,,YES,YES,YES,NO
124,2469406,706421,14,0.6,1.0,1,negative_reaction,"@AmazonHelp Hi folks, I’m afraid we have an ongoing problem with this issue which I need to talk to someone about. Should I fill in the contact form again? || @AmazonHelp was talking to your colleagues last week regarding deliveries that were dumped (a neighbour found them) but marked as handed to resident. Spoke to someone in Ireland but we now have a problem with the resolution. || @AmazonHelp We were contacted by the Amazon depo manager Swindon and promised amazon vouchers as compensation. Chased, told being sent as e-vouchers last Friday, still nothing, now he’s not responding to emails. || @AmazonHelp I have name and email details if you have a method for me to send them to you. || @115830 2 deliveries in a week show as ‘handed to resident’, they weren’t, I was in, they’ve never turned up. Deliveries very unreliable over the last 6 months, worth investigating? || @AmazonHelp All reported, waiting on refund but just want goods which I’ll have to get elsewhere. Always issues with man &amp; van deliveries, different drivers every time, don’t know the area, sometimes deliver to random address or mark as ‘handed to resident’ and the parcel never turns up. || @AmazonHelp OK done that.","@706421 Hello, Alexis. Thanks for reaching back out to us today. Without providing any personal details, can you give us a bit more information regarding the ongoing issue you're having?  ^FJ || @706421 Hi Alexis, sorry to hear about that. Please tell us more about what happened- what resolution was provided and what is the problem with it? ^AT || @706421 Could you reply to the email that was sent from the Social Media Team so that we can look into this further for you?^PJ || @706421 You can DM us if you follow our page and send details there, however, please don't share sensitive info even in that channel. ^AT || @706421 Hi Alexis- Sorry about your experience with your recent deliveries. Did you report this to us directly? Have they been replaced/refunded? Are you noticing this with a particular carrier or? ^NV || @706421 Thanks for clarifying Alexis. Can you please forward your details - https://t.co/tkLCr7DNil including as much info as possible. We'd like a specialist to investigate further. ^TP || @706421 We have received your details. We'll work on it and get back to you with an update. ^CN",YES,YES,YES,YES,,NO,YES,YES,YES
6,108167,140012,4,0.75,0.0,0,neutral_reaction,Pensando em me dar um Kindle Paperwhite de presente! Acabei de ver o twitt da @117804 que está no #blackfriday &lt;3 || @AmazonHelp Estou bem inclinada a fazer isso!,"@140012 Olá, Mitcheia! Conte para nós, você vai aproveitar da promoção?. 🤔😃 ^NB || @140012 Que legal Mitcheia! 👏😍 E nós conte, qual será o primeiro e-book que você vai ler no seu novo Kindle?📚",NO,NO,YES,NO,,NO,NO,YES,NO
194,970632,350314,4,0.85,0.0,0,negative_reaction,@115830 is there a way to purchase a book for someone else's kindle as present for them? || @AmazonHelp No problem. Do you think this Is something that is likely to happen moving forward? Thanks,"@350314 Currently, gifting e-books on https://t.co/ykTUEmdsQA isn't available. I'm sorry for the inconvenience. ^CO || @350314 Hi, we would not have that information at this time. ^CR",NO,NO,YES,NO,,NO,NO,YES,NO
197,838573,319548,8,0.65,0.0,0,neutral_reaction,Deliver my parcel @115830 please. || @AmazonHelp No it today but I want it now lol want it before I head to work at 4:30 || @AmazonHelp Amazon as it’s next day delivery. And no normally someone in. || @AmazonHelp It’s arrived.,"@319548 Hey, has your order passed estimated delivery date? You can track it here:  https://t.co/Y5jpI9gRhE ^RS || @319548 Hi James. Who is the carrier in question? Have you a safe place delivery preference set up? ^TP || @319548 If the order doesn't arrive by the delivery date here https://t.co/aaDyEz1VgE let us know. ^BM || @319548 Thanks for letting us know, James. Have yourself a great weekend! ^EM",YES,YES,YES,NO,,NO,NO,YES,NO
89,480449,229180,3,0.25,0.0,1,positive_reaction,@amazonhelp hi..i havea query.. can you just dm || @AmazonHelp Pls reply me ASAP..thanks,@229180 Thank you for writing to us today. We'll reply to you via DM. ^SG,NO,NO,NO,YES,,NO,NO,YES,YES
186,1983638,587144,3,0.6,0.0,0,neutral_reaction,"Ay Dios mio!!!, ayúdame a no dar clics a lo baboso en @116875. Ya me acabé mi quincena. || @AmazonHelp Smn jaja",@587144 A veces hay que dejarse llevar por la tentación. 📦😉 ¿Has conseguido lo que buscabas? 😄 ^KS,NO,NO,YES,NO,,NO,NO,YES,NO
