annotation_id,conversation_id,customer_id,turn_count,D1_context_specificity,D2_action_specificity,D3_dm_redirect,D4_observable_outcome,customer_messages,agent_messages,evidence_complete,action_observed,customer_reaction_observed,dm_redirect,notes
1,869856,326542,4,1.0,0.0,0,negative_reaction,@AmazonHelp It's been 5 days. I haven't got my cash back. I purchased prime membership &amp; added money to wallet on same day. || @AmazonHelp You said it will be solved by 28th. Still not solved.,@326542 I'm sorry to know about the delay in cashback. Please reach out to us here: https://t.co/vlvfJr4nN9 we'd like to help. ^SG || @326542 I'm sorry about the delay. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG,,,,,
2,2935152,811521,7,1.0,1.0,0,positive_reaction,"My @115821 account was hacked. Contacting cust serv for past 45 days still nothing is fixed.  @117795 is good only if it works 🙄 #Amazonaddiction is too bad. || @AmazonHelp Every time we call @115821  they promise that ""Account specialist"" will contact us in 24-48 hours. The irony is it's been 48 days almost but no body cared to do anything. @115851 has million other customers so he don't care if 1 is suffering I guess 🤔 || @AmazonHelp I appreciate the confidence you kept in @115821 cust serv but unfortunately there is nothing of that sort. I checked all my folders including spam for the umpteenth time now to find no response from your revered #Accountspecialists who I even doubt if they actually exist || @AmazonHelp Filled it up. Not really keeping my fingers crossed because I gave up hope of help from @AmazonHelp","@811521 Hi, sorry to hear that. Did you receive an email from the account specialists about your account? Please check spam/junk folders of your emails. ^JJ || @811521 I can see my colleague has advised you to check your spam/junk folder to see if our account specialists have contacted you. Can I ask, have you checked this please?^GA || @811521 Sorry to hear about this. Can you fill out this form: https://t.co/R55eEQwSEs so we can take a look at this for you? ^MI",,,,,
3,907089,335385,2,0.25,0.0,1,no_action_observed,@AmazonHelp hello I dm’d need immediate help,@335385 I've replied to your DM. ^MB,,,,,
4,495945,233293,5,0.85,1.0,0,negative_reaction,@AmazonHelp package undeliverable today as couldn’t locate address. Driver literally parked outside my house and tried every house except mine!!! || @AmazonHelp The app notified me of the failure. Said it should be attempted tomorrow? || @AmazonHelp Thanks,"@233293 Oh no! I'm sorry about this poor experience. Were you sent an e-mail about it being undeliverable? Please let us know, so that we can further assist you. ^GP || @233293 Thanks for letting us know. Please keep us updated on the delivery tomorrow. Orders should arrive by 21:00. ^LI",,,,,
5,2974816,820436,4,1.0,0.0,0,neutral_reaction,"@UPSHelp @115817 I’m pretty sure @115821 didn’t ship my package with 1/6 of the box missing. https://t.co/KT8ADwb19h || @UPSHelp @115817 @115821 Or maybe they did? || @AmazonHelp The interior box was a little messed up, but the vacuum seems like it’s probably ok https://t.co/TDuAZZBAhb",@820436 I'm sorry you received your order in this packaging! Is the item okay? Please let us know. We'd also like to document your feedback here: https://t.co/9D0EQR6Upv  ^SE,,,,,
6,108167,140012,4,0.75,0.0,0,neutral_reaction,Pensando em me dar um Kindle Paperwhite de presente! Acabei de ver o twitt da @117804 que está no #blackfriday &lt;3 || @AmazonHelp Estou bem inclinada a fazer isso!,"@140012 Olá, Mitcheia! Conte para nós, você vai aproveitar da promoção?. 🤔😃 ^NB || @140012 Que legal Mitcheia! 👏😍 E nós conte, qual será o primeiro e-book que você vai ler no seu novo Kindle?📚",,,,,
7,2053570,161159,2,0.7,0.0,1,no_action_observed,"@AmazonHelp Having a problem with my Prime account, DM if you can","@161159 We'd like to help, you can DM us using the link below. Please remember to not include personal, or account information. ^AG https://t.co/1XyLaGkcaN",,,,,
8,961413,311606,11,0.7,1.0,1,negative_reaction,"@AmazonHelp How is it possible that without attempting delivery of the packet the packet return || @AmazonHelp Copy paste reply without any content and without any concern . Great Job!!!!!! || @AmazonHelp And what is the fun of sharing the no of delivery boy if he not pick the phone or his no switch off || @AmazonHelp From last six months you just working on it. Pick ur phone call to delivery boy and take me on callcon .what is the issue || @AmazonHelp For this you think you need board of directors meeting for this || @AmazonHelp Use your simple common sense || @AmazonHelp Why you people afraid form your delivery boy. 
Amazon exist in amazon jungle.becouse u follow and understand jungle law only","@311606 We've responded to your DM, please check. ^KA || @311606 I do realize there has been an inconvenience. We've forwarded your comments to our team internally and we'll work on it. ^GK || @311606 and have forwarded your feedback internally. (2/2) ^VR || @311606 I'm sorry about that. Once an order is canceled it cannot be reinstated. Further, I've noted your comments (1/2)^VR",,,,,
9,239427,172891,5,0.25,0.0,1,positive_reaction,"@AmazonHelp Hi, I have DM you. || @AmazonHelp Waste of time 😔 || @AmazonHelp Thank you, I have replied.",@172891 Thanks for letting us know. We've replied to your DM. ^GG || @172891 I've replied to your DMs. Please see there for more information. ^CL,,,,,
10,1604981,492352,7,1.0,0.0,1,negative_reaction,@115850 One fladuent activity happen in my card from amazon at name of prime membership with transaction of 6850 rs || @AmazonHelp Just now i came to know https://t.co/LrMLjwOloJ charged me 99$ even 105dollars for membership which i never ordered !! || @AmazonHelp As its a fradulent case as i talk with them and asked for refund my money !! As they process it which dey said will get in 5days || @AmazonHelp Check Dm and email i already dropped to https://t.co/LrMLjwOloJ and amazon.in thanks for giving me inconvenience today for no reason,@492352 Kindly share your details here: https://t.co/beaaDm0muc we'll reach out to you soon. 2/2 ^AP || @492352 That's odd! The prime membership price on Amazon.in is INR 999 only. We'd like to look into the issue and help you out. 1/2 ^AP || @492352 We will reply you over DM. ^RW,,,,,
11,21873,120769,5,0.75,0.0,1,negative_reaction,"@AmazonHelp Thank you for doing the right thing and solving the problem, though i believe we could have done it on Day1 of issue, but thank you eith way || @AmazonHelp I was supposed to receive a call back,  is this how you want to be a world class company, pls sort my issue out 9051282828","@120769 Thanks for keeping us posted. I'll be sure to forward your comments to our team internally. ^GK || @120769 We will reply you over DM. ^RW || @120769 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​  ^RW",,,,,
12,2764438,773246,4,1.0,0.0,0,neutral_reaction,Very mid-leading add within @115830 app ... shows a ‘100 day trial’ so would expect that can take advantage of it ... but no ... says you would have had to purchase months ago! Last end purchase date was 100+ days ago ... so not even relevant! https://t.co/WGspM3xl3d || @AmazonHelp Follow this links (via app) https://t.co/bdkPI0Uku9 -&gt; more about Sonos / Amazon -&gt; 100 day.,"@773246 Hi, would you be able to share with us a direct link to this. We would like to have a look as to why the promotion is not working. ^CR || @773246 Hi, thank you for bringing this to our attention. ^ES",,,,,
