annotation_id,conversation_id,customer_id,turn_count,D1_context_specificity,D2_action_specificity,D3_dm_redirect,D4_observable_outcome,customer_messages,agent_messages,evidence_complete,action_observed,customer_reaction_observed,dm_redirect,notes
1,2436871,699075,5,0.6,0.0,0,negative_reaction,"@115850 
How can you inflate MRP and offer discounts.  See pictures. https://t.co/zNaOiFyJZf || @AmazonHelp Same branded product can't have 2 MRPs your site says 56% off . MRP is 2995 but as per you the MRP is as high as 7291. How come??",@699075 The MRP difference could come up owing to multiple factors. Kindly refer: https://t.co/Oy23R0i2rj for more information. ^MO || @699075 I realize your query about the MRP difference. Kindly go through the link here: https://t.co/6v1ljxzEI0 for details (1/2) || @699075 regarding the MRP difference. Appreciate your understanding. ^SG(2/2),,,,,
2,2575198,730247,2,0.6,0.0,0,silence_after_action,@116875 hola que promociones van a tener para el buen fin,"@730247 Hola, César. Todas nuestras promociones serán anunciadas en nuestra página web y en redes sociales, te recomendamos estar atento y revisar estas recomendaciones: https://t.co/maEnHruAvb",,,,,
3,1173007,395895,4,0.7,0.0,0,positive_reaction,"My latest Amazon package is delayed ""due to weather or natural disaster."" Location: Hialeah. || @AmazonHelp Yes, I have. Thanks! More than anything, I was just intensely curious what ""weather or natural disaster"" occurred down the road in Hialeah.",@395895 I'm sorry to hear about the delay and any inconvenience this has caused! Have you been provided a new delivery date? ^KJ || @395895 Thanks for letting us know. The carrier may have more information regarding the delay. ^WJ,,,,,
4,1608595,158377,6,0.4,1.0,1,neutral_reaction,@115850 pls respond to DM. :) || @AmazonHelp I haven’t received a reply. ??? || @AmazonHelp 😇❣️ || @AmazonHelp Any update ? :),"@158377 We've responded to your DM, kindly check and revert. ^OS || @158377 We've escalated the details to our team internally. We'll reach out to you once we have an update. ^GK",,,,,
5,1384044,366642,7,1.0,0.0,1,negative_reaction,"@115830 ""If your battery is damaged/defective...do not return it to Amazon"" goes against advice I'm being given in chat. What to do? || @AmazonHelp Thanks for a quick reply https://t.co/NoTmUYlnGm || @AmazonHelp Chat failed to understand, phone operator disconnected me! || @AmazonHelp Can I DM you?",@366642 This does not sound right Tony. Can you provide a link to the item in question? Is the item sold via a seller or Amazon? ^TP || @366642 What return info were you provided when on chat Tony? Were you provided with a return label? ^TP || @366642 Yes you can DM. But do not post any personal info. ^PK,,,,,
6,89163,135286,3,1.0,0.0,0,neutral_reaction,@115821 why does your service suck so badly lately???? Why bother being prime if you alll don’t deliver as promised || @AmazonHelp Yet again you’ve missed the promised delivery date by multiple days. And after spending 45 minutes on the phone to try and get it fixed it now late for a meeting,@135286 I'm sorry to hear that you are unhappy with Prime. Without providing any personal information can you let us know what has happened? ^KI,,,,,
7,828309,215706,7,0.7,1.0,1,negative_reaction,@AmazonHelp Your Rajendra chat with me he is worthless. I made return package please arrange collection. Thanks || @AmazonHelp It seems that amazon has employed staff with poor IQ so they are not able to get my problem arrange collection of return package . https://t.co/Hix4WGIA4L || @AmazonHelp I have already given all the info as asked by link sent by Akshya. Ask your courier to collect your return package from my house. || @AmazonHelp Ask your service executive to talk to me on MOb -9430453751.my son Rohit Kumar Jha and myself are your regular customer.,@215706 Please share your details through the link mentioned by my colleague 'Akshay' in your DM. (1/2) ^VM || @215706 Please share your info through a desktop/laptop only. (2/2) ^VM || @215706 Thanks for the update. Our teams will reach out to you soon. ^VM,,,,,
8,2352211,679763,4,0.6,0.0,0,neutral_reaction,"J’attend un colis d’ @120533 qui devait arriver aujourd’hui, mais il n’est toujours pas arrivé 😞 || @AmazonHelp Bonsoir, le suivi du colis me dit « en cours de livraison » et le transporteur est Amazon Logistics.","@679763 Bonsoir, désolée pour cela, que dit le suivi de votre colis je vous prie et par quel transporteur  ? ^KE || @679763 Pouvez-vous nous indiquer le numéro de suivi afin qu'on puisse remonter cela je vous prie ? 
^KE",,,,,
9,322912,192922,15,0.75,1.0,1,negative_reaction,"@AmazonHelp I have a query which is more than 1000 Words, how do you want me to send it here? || @AmazonHelp Request you to please recheck the information you post and not confuse the customer. It ""REQUIRES LOGIN DETAILS"". https://t.co/kL4MImYWR5 || @AmazonHelp Anybody wants to say something else? I just need the email id where I can contact you. Is that too much I am asking you? || @AmazonHelp Thank-you, I have repeatedly told you my issue, but it seems you are incompetent to help me regarding this. || @115850 kindly provide me with your E-mail ID for grievance redressal. || @AmazonHelp Sorry but the person having the query doesn't have a account on Amazon. || @AmazonHelp I need the link, where without creating an account I can post my complaints.","@192922 In that case, Apurva, please DM us your concern and we'll assist you accordingly. ^MS || @192922 You have reached out to Amazon Social Media Team, tell us your difficulty &amp; we'll be glad to help.  ^MJ || @192922 Please tell us what went wrong, so that we can look into it and assist you appropriately. ^VH || @192922 I’m sorry for the hassle. You may use the link here: https://t.co/vlvfJr4nN9 to send us an email regarding the issue. ^SB || @192922 Request you to connect with our support team using this link: https://t.co/vlvfJr4nN9 and they'll assist you accordingly. ^SK || @192922 One can leave a feedback without having an Amazon account using the link earlier provided by my colleague 'SK'. ^RS || @192922 We are already conversing in a medium where you can address your queries/complaints without creating an Amazon account. 1/2 ^AB || @192922 Kindly let us know how we could help with the complaint, and we'll revert accordingly. You may also use the link above. 2/2 ^AB",,,,,
10,385066,207163,2,1.0,1.0,0,silence_after_action,"@115850 My experience during this Amazon Sale, I bought many items and I got defect product's, diff colour than ordered and old product's",@207163 I'm sorry about the situation. You may replace the orders using the link here:  https://t.co/3yqvLnyTxi ^SG,,,,,
