annotation_id,human_conversation_id,human_evidence_complete,semantic_conversation_id,semantic_ec,intent_conversation_id,intent_ec,ec_conversation_id,ec_selected_score,ec_selected_ec,full_conversation_id,full_selected_score,full_selected_ec
116,191589,NO,191589,0.42,191589,0.42,191589,0.7255126366615295,0.42,191589,0.7050456430912018,0.42
92,785789,NO,785789,0.33,785789,0.33,2113676,0.7833449256420135,0.775,2113676,0.5878067272901535,0.775
16,575311,NO,575311,0.835,575311,0.835,575311,0.8675046925544738,0.835,575311,0.6517894012928009,0.835
58,436906,NO,436906,0.82,436906,0.82,436906,0.7756053707599639,0.82,436906,0.7301185055971147,0.82
124,2469406,YES,98632,0.865,98632,0.865,98632,0.7591532082557678,0.865,98632,0.5655846636295319,0.865
6,108167,NO,108167,0.355,108167,0.355,108167,0.7873400571346283,0.355,108167,0.6059457591772079,0.355
194,970632,NO,970632,0.7,970632,0.7,970632,0.8698928570747375,0.7,970632,0.8084872448444367,0.7
197,838573,YES,2400051,0.82,2400051,0.82,2400051,0.8504212937355041,0.82,2400051,0.7889024450778962,0.82
89,480449,NO,480449,0.375,480449,0.375,480449,0.7731145441532135,0.375,480449,0.5940542846918107,0.375
186,1983638,NO,1983638,0.31,1983638,0.31,1983638,0.7554002575874328,0.31,1983638,0.5824573452472688,0.31
192,311046,YES,944162,0.79,944162,0.79,944162,0.8349758858680725,0.79,944162,0.7778381960391999,0.79
169,1767527,NO,1719185,0.82,1719185,0.82,1719185,0.7825063548088074,0.82,1719185,0.7355407073497773,0.82
91,1773832,NO,1773832,0.7,1773832,0.7,1773832,0.8247758364677429,0.7,1773832,0.6230381572246552,0.7
81,745999,NO,745999,0.535,745999,0.535,745999,0.7810361485481262,0.535,745999,0.7445641167163849,0.535
107,377467,NO,377467,0.135,377467,0.135,377467,0.7405000834465026,0.135,377467,0.5770000655651093,0.135
147,2710355,NO,2710355,0.445,2710355,0.445,2710355,0.8038359365463257,0.445,2710355,0.6156925215721131,0.445
189,513546,YES,513546,0.31,513546,0.31,513546,0.7930000834465026,0.31,513546,0.6120000655651092,0.31
119,1080303,YES,1080303,0.835,1080303,0.835,1080303,0.9116754298210143,0.835,1080303,0.8364949805736542,0.835
45,1666207,NO,740437,0.475,740437,0.475,1279637,0.7330567460060119,0.535,288033,0.7925312739610672,0.475
152,1736150,NO,207531,0.775,207531,0.775,207531,0.782737226486206,0.775,207531,0.587329249382019,0.775
25,2927074,NO,2927074,0.79,2927074,0.79,2927074,0.8136835927963256,0.79,2927074,0.7611085371971131,0.79
57,170894,NO,169614,0.76,2511806,0.52,169614,0.7676114826202391,0.76,2511806,0.656697229385376,0.52
43,2213789,YES,2213789,0.595,2213789,0.595,2213789,0.7140287373065948,0.595,2213789,0.5397725793123245,0.595
128,1349077,YES,1312554,0.4,1312554,0.4,78844,0.8735148787498475,1.0,78844,0.8006188333034516,1.0
114,1034249,NO,1034249,0.835,1034249,0.835,1034249,0.8623969738483428,0.835,1034249,0.8977761937379838,0.835
120,695119,NO,695119,0.79,695119,0.79,695119,0.891952573776245,0.79,695119,0.8226055936813356,0.79
198,2747173,NO,2747173,0.91,2747173,0.91,2747173,0.973,0.91,2747173,0.8820000000000001,0.91
195,505803,NO,505803,0.405,505803,0.405,505803,0.7768702652454376,0.405,505803,0.595933779835701,0.405
100,1742679,NO,1742679,0.7,1742679,0.7,1742679,0.8887092506885528,0.7,1742679,0.8232715541124345,0.7
13,2129938,NO,2862063,0.385,2862063,0.385,2774127,0.7742732529640197,0.835,2774127,0.5785361273288727,0.835
66,327026,NO,740440,0.52,740440,0.52,740440,0.7371325430870056,0.52,910746,0.7804356116056443,0.4
72,2394498,NO,2394498,0.18,2394498,0.18,2394498,0.754,0.18,2394498,0.5860000000000001,0.18
132,358786,NO,107230,0.4,2713188,0.715,593349,0.793976140499115,0.835,1741004,0.7525229933261872,0.595
7,2053570,NO,2053570,0.21,2053570,0.21,1482930,0.8075463814735413,0.64,1482930,0.7616435854434968,0.64
47,1731188,NO,1731188,0.445,1731188,0.445,1731188,0.8335000834465027,0.445,1731188,0.6390000655651092,0.445
187,1208365,NO,1208365,0.31,1208365,0.31,1208365,0.7930000834465026,0.31,1208365,0.6120000655651092,0.31
127,1416039,YES,1416039,0.13,1416039,0.13,1416039,0.7390000834465027,0.13,1416039,0.5760000655651093,0.13
32,1922923,NO,1922923,0.6,1922923,0.6,2511605,0.8550945534706116,0.88,1922923,0.799184651374817,0.6
118,191621,NO,191621,0.48,191621,0.48,191621,0.8387393238544464,0.48,191621,0.7918666115999222,0.48
31,972287,NO,972287,0.375,972287,0.375,317602,0.8023548395633697,0.865,317602,0.8495288025140763,0.865
111,1137322,NO,1137322,0.535,73593,0.625,2393534,0.7282059135437011,0.73,73593,0.6815623581409455,0.625
