annotation_id,conversation_id,human_evidence_complete,query_intent,query_state,policy,selected_conversation_id,selected_semantic_similarity,selected_ec_score,selected_intent_score,selected_state_score,selected_evidence_tier,candidate_pool_size,source_excluded
116,191589,NO,account,unknown,semantic_only,519705,0.6907538175582886,0.805,1.0,0.0,HIGH,20,True
116,191589,NO,account,unknown,semantic_intent,519705,0.6907538175582886,0.805,1.0,0.0,HIGH,20,True
116,191589,NO,account,unknown,semantic_ec,519705,0.6907538175582886,0.805,1.0,0.0,HIGH,20,True
116,191589,NO,account,unknown,full,519705,0.6907538175582886,0.805,1.0,0.0,HIGH,20,True
92,785789,NO,refund,refund,semantic_only,1069953,0.8121969103813171,0.52,0.0,0.0,MEDIUM,20,True
92,785789,NO,refund,refund,semantic_intent,1069953,0.8121969103813171,0.52,0.0,0.0,MEDIUM,20,True
92,785789,NO,refund,refund,semantic_ec,324395,0.7678593397140503,0.865,0.0,0.0,HIGH,20,True
92,785789,NO,refund,refund,full,2747101,0.7659727931022644,0.82,0.0,0.5,HIGH,20,True
16,575311,NO,unknown,not_received,semantic_only,878783,0.7669117450714111,0.715,0.0,0.0,MEDIUM,20,True
16,575311,NO,unknown,not_received,semantic_intent,878783,0.7669117450714111,0.715,0.0,0.0,MEDIUM,20,True
16,575311,NO,unknown,not_received,semantic_ec,2308339,0.7360398769378662,0.925,0.0,0.0,HIGH,20,True
16,575311,NO,unknown,not_received,full,2596387,0.7372447848320007,0.91,0.0,0.5,HIGH,20,True
58,436906,NO,payment,late,semantic_only,2945564,0.7345356345176697,0.375,0.0,1.0,LOW,20,True
58,436906,NO,payment,late,semantic_intent,1156237,0.671947717666626,0.79,1.0,1.0,HIGH,20,True
58,436906,NO,payment,late,semantic_ec,2623956,0.6977896690368652,0.775,0.0,1.0,HIGH,20,True
58,436906,NO,payment,late,full,1156237,0.671947717666626,0.79,1.0,1.0,HIGH,20,True
124,2469406,YES,refund,refund,semantic_only,98632,0.7137902975082397,0.865,0.0,0.0,HIGH,20,True
124,2469406,YES,refund,refund,semantic_intent,98632,0.7137902975082397,0.865,0.0,0.0,HIGH,20,True
124,2469406,YES,refund,refund,semantic_ec,98632,0.7137902975082397,0.865,0.0,0.0,HIGH,20,True
124,2469406,YES,refund,refund,full,98632,0.7137902975082397,0.865,0.0,0.0,HIGH,20,True
6,108167,NO,unknown,unknown,semantic_only,666180,0.8273879885673523,0.355,0.0,0.0,LOW,20,True
6,108167,NO,unknown,unknown,semantic_intent,666180,0.8273879885673523,0.355,0.0,0.0,LOW,20,True
6,108167,NO,unknown,unknown,semantic_ec,666180,0.8273879885673523,0.355,0.0,0.0,LOW,20,True
6,108167,NO,unknown,unknown,full,666180,0.8273879885673523,0.355,0.0,0.0,LOW,20,True
194,970632,NO,technical,unknown,semantic_only,183070,0.8281064033508301,0.715,0.0,0.0,MEDIUM,20,True
194,970632,NO,technical,unknown,semantic_intent,274784,0.7770936489105225,0.445,1.0,0.0,LOW,20,True
194,970632,NO,technical,unknown,semantic_ec,183070,0.8281064033508301,0.715,0.0,0.0,MEDIUM,20,True
194,970632,NO,technical,unknown,full,570140,0.7894045114517212,0.79,0.5,0.0,HIGH,20,True
197,838573,YES,delivery,unknown,semantic_only,2400051,0.8634589910507202,0.82,1.0,0.0,HIGH,20,True
197,838573,YES,delivery,unknown,semantic_intent,2400051,0.8634589910507202,0.82,1.0,0.0,HIGH,20,True
197,838573,YES,delivery,unknown,semantic_ec,2400051,0.8634589910507202,0.82,1.0,0.0,HIGH,20,True
197,838573,YES,delivery,unknown,full,2400051,0.8634589910507202,0.82,1.0,0.0,HIGH,20,True
89,480449,NO,unknown,unknown,semantic_only,687817,0.8637409806251526,0.135,0.0,0.0,LOW,20,True
89,480449,NO,unknown,unknown,semantic_intent,687817,0.8637409806251526,0.135,0.0,0.0,LOW,20,True
89,480449,NO,unknown,unknown,semantic_ec,2714676,0.8397079706192017,0.625,0.0,0.0,MEDIUM,20,True
89,480449,NO,unknown,unknown,full,2714676,0.8397079706192017,0.625,0.0,0.0,MEDIUM,20,True
186,1983638,NO,unknown,unknown,semantic_only,126031,0.7444513440132141,0.31,0.0,0.0,LOW,20,True
186,1983638,NO,unknown,unknown,semantic_intent,126031,0.7444513440132141,0.31,0.0,0.0,LOW,20,True
186,1983638,NO,unknown,unknown,semantic_ec,125333,0.726232647895813,0.355,0.0,0.0,LOW,20,True
186,1983638,NO,unknown,unknown,full,126031,0.7444513440132141,0.31,0.0,0.0,LOW,20,True
192,311046,YES,technical,unknown,semantic_only,944162,0.8542512655258179,0.79,0.0,0.0,HIGH,20,True
192,311046,YES,technical,unknown,semantic_intent,2753596,0.8213537931442261,0.445,1.0,0.0,LOW,20,True
192,311046,YES,technical,unknown,semantic_ec,944162,0.8542512655258179,0.79,0.0,0.0,HIGH,20,True
192,311046,YES,technical,unknown,full,2710885,0.7985955476760864,0.88,1.0,0.0,HIGH,20,True
169,1767527,NO,delivery,unknown,semantic_only,1719185,0.7664376497268677,0.82,1.0,0.0,HIGH,20,True
169,1767527,NO,delivery,unknown,semantic_intent,1719185,0.7664376497268677,0.82,1.0,0.0,HIGH,20,True
169,1767527,NO,delivery,unknown,semantic_ec,1719185,0.7664376497268677,0.82,1.0,0.0,HIGH,20,True
169,1767527,NO,delivery,unknown,full,1719185,0.7664376497268677,0.82,1.0,0.0,HIGH,20,True
91,1773832,NO,technical,unknown,semantic_only,2154979,0.6147066354751587,0.4,1.0,0.0,LOW,20,True
91,1773832,NO,technical,unknown,semantic_intent,2154979,0.6147066354751587,0.4,1.0,0.0,LOW,20,True
91,1773832,NO,technical,unknown,semantic_ec,315021,0.5507012009620667,0.835,1.0,0.0,HIGH,20,True
91,1773832,NO,technical,unknown,full,315021,0.5507012009620667,0.835,1.0,0.0,HIGH,20,True
81,745999,NO,payment,unknown,semantic_only,2581876,0.8042613863945007,0.475,1.0,0.0,LOW,20,True
81,745999,NO,payment,unknown,semantic_intent,2581876,0.8042613863945007,0.475,1.0,0.0,LOW,20,True
81,745999,NO,payment,unknown,semantic_ec,349107,0.7876245975494385,0.88,1.0,0.0,HIGH,20,True
81,745999,NO,payment,unknown,full,349107,0.7876245975494385,0.88,1.0,0.0,HIGH,20,True
107,377467,NO,technical,unknown,semantic_only,2137415,0.7446144223213196,0.265,1.0,0.0,LOW,20,True
107,377467,NO,technical,unknown,semantic_intent,2137415,0.7446144223213196,0.265,1.0,0.0,LOW,20,True
107,377467,NO,technical,unknown,semantic_ec,2137415,0.7446144223213196,0.265,1.0,0.0,LOW,20,True
107,377467,NO,technical,unknown,full,2137415,0.7446144223213196,0.265,1.0,0.0,LOW,20,True
